S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
230,UIC,41.21,669.00,688.50,656.00,680.80,680.80,0.00,0.00,672.58,"20,938.00",656.70,"14,082,567.50",123,24.10,32.50,3.67,4.95,1.21,890.00,449.00
231,UICPO,38.33,237.00,237.00,237.00,237.00,237.00,0.00,0.00,280.08,"2,410.00",237.00,"674,990.00",4,0.00,0.00,0.00,0.00,-18.18,237.00,237.00
232,ULI,40.80,621.00,651.60,618.00,651.00,651.00,0.00,0.00,637.82,"26,846.00",628.00,"17,123,023.50",923,23.00,33.60,3.66,5.44,2.02,940.10,342.00
233,UMHL,45.15,361.00,362.70,350.00,359.00,359.00,0.00,0.00,356.98,"60,330.00",358.00,"21,536,730.00",232,1.00,12.70,0.28,3.63,0.56,646.60,143.00
234,UMRH,37.30,488.10,507.60,488.10,506.00,506.00,0.00,0.00,497.12,290.00,494.00,"144,166.00",20,12.00,19.50,2.43,4.00,1.75,811.00,206.00
235,UNHPL,45.61,308.00,314.10,304.00,310.00,310.00,0.00,0.00,307.79,"9,594.00",308.00,"2,952,981.00",83,2.00,10.10,0.65,3.32,0.71,612.00,104.00
236,UNL,42.76,"19,000.00","19,200.00","19,000.00","19,050.00","19,050.00",0.00,0.00,"19,110.00",50.00,"19,096.00","955,500.00",4,-46.00,200.00,-0.24,1.05,-0.31,"23,180.00","18,050.00"
237,UPCL,42.35,349.80,356.70,340.00,343.00,343.00,0.00,0.00,345.26,"37,079.00",343.00,"12,802,015.70",224,0.00,16.70,0.00,4.91,-0.66,635.00,122.00
238,UPPER,40.09,620.00,640.00,620.00,632.00,632.00,0.00,0.00,630.86,"108,017.00",618.00,"68,143,849.60",841,14.00,20.00,2.27,3.23,0.18,962.50,410.00
239,USLB,40.47,"1,469.00","1,556.00","1,442.00","1,556.00","1,556.00",0.00,0.00,"1,484.33","2,440.00","1,463.00","3,621,768.80",45,93.00,114.00,6.36,7.91,4.61,"2,868.00","1,291.00"
240,VLBS,40.75,"1,266.80","1,347.00","1,260.00","1,270.00","1,270.00",0.00,0.00,"1,277.22","1,429.00","1,242.00","1,825,143.10",33,28.00,87.00,2.25,6.90,-0.57,"2,036.00","1,008.00"
